contour_id,point_id,x,y
0,0,34.9562,116.9508
0,1,36.1391,116.0700
0,2,36.2451,115.8463
0,3,36.3303,116.1739
0,4,39.0201,115.9918
0,5,40.2275,116.7758
0,6,41.0215,117.9488
0,7,40.7130,121.3690
0,8,41.4020,122.2878
0,9,40.9792,120.9557
0,10,40.1374,122.1287
0,11,38.8440,122.9377
0,12,41.3217,123.3370
0,13,36.9000,123.0198
0,14,36.3016,122.8515
0,15,35.0383,121.9591
0,16,34.1831,120.5810
0,17,34.0314,119.8115
0,18,34.0065,119.0589
0,19,34.1357,118.3467
1,0,19.8867,116.8883
1,1,21.1539,116.0664
1,2,20.9725,115.8597
1,3,23.6649,115.8919
1,4,23.8210,116.0814
1,5,25.0730,116.9260
1,6,25.9169,118.1876
1,7,26.1250,118.1586
1,8,26.0734,120.5214
1,9,25.9146,120.7968
1,10,25.0952,122.1003
1,11,23.8915,122.9491
1,12,24.3243,123.2241
1,13,13.4945,124.1671
1,14,21.0613,122.9731
1,15,19.8467,122.1547
1,16,19.0348,120.9186
1,17,18.3660,124.6886
1,18,18.7808,117.6365
1,19,19.0510,118.1124
2,0,109.7865,115.8643
2,1,111.5650,115.1115
2,2,111.4979,115.0427
2,3,113.5591,115.7265
2,4,113.8899,116.0948
2,5,114.8322,117.3119
2,6,115.0402,117.8374
2,7,114.9918,118.8160
2,8,114.9821,119.9467
2,9,114.2440,121.2786
2,10,113.1740,122.0788
2,11,111.4071,122.9511
2,12,111.8466,122.8543
2,13,110.0136,121.9923
2,14,108.9492,121.0672
2,15,108.1646,119.4515
2,16,108.0101,118.6748
2,17,108.1169,118.4916
2,18,108.8560,116.7817
3,0,95.0928,116.0715
3,1,96.7766,115.2441
3,2,97.3420,115.0152
3,3,97.3044,115.1612
3,4,99.0681,115.9549
3,5,100.0416,116.9368
3,6,100.8302,118.7039
3,7,100.9982,118.8634
3,8,100.8047,119.2615
3,9,100.0107,121.0155
3,10,98.9954,121.9970
3,11,97.1875,122.8149
3,12,97.2703,122.9900
3,13,96.8746,122.7384
3,14,95.1384,121.8974
3,15,94.1306,120.7916
3,16,93.8792,120.3785
3,17,93.0001,118.9670
3,18,93.8731,117.5808
3,19,94.1159,117.1923
4,0,80.8000,115.8976
4,1,82.8347,115.1111
4,2,82.4289,115.0749
4,3,84.2079,115.8906
4,4,85.2045,116.7389
4,5,85.9408,118.2004
4,6,85.9890,119.8069
4,7,85.9496,119.8070
4,8,85.2546,121.3486
4,9,84.3315,122.1818
4,10,82.3997,122.9125
4,11,82.5868,122.9247
4,12,80.6344,122.1949
4,13,79.7150,121.3831
4,14,79.0238,119.9075
4,15,79.0007,119.0284
4,16,79.0512,118.1690
4,17,79.7859,116.7326
5,0,65.9796,115.9888
5,1,67.8444,115.1463
5,2,67.4521,115.0399
5,3,69.2533,115.8905
5,4,70.3151,116.6575
5,5,71.0487,117.8622
5,6,70.9692,119.5652
5,7,71.1063,120.4402
5,8,70.8966,120.8041
5,9,69.9906,121.9917
5,10,68.5509,122.8300
5,11,67.8521,122.9874
5,12,67.4677,122.9086
5,13,65.6146,122.2376
5,14,64.7594,121.3697
5,15,64.0743,119.6576
5,16,64.0037,119.0681
5,17,64.1205,118.3646
5,18,64.9045,116.8803
6,0,51.1698,115.8008
6,1,52.5950,115.0251
6,2,54.1868,115.9262
6,3,55.3125,116.6835
6,4,56.0671,117.8311
6,5,56.9646,119.4828
6,6,56.2458,121.1564
6,7,55.9689,120.9382
6,8,55.1006,122.0874
6,9,53.6906,122.8872
6,10,53.0122,123.0009
6,11,52.2206,122.9514
6,12,50.5862,122.2823
6,13,49.7563,121.4091
6,14,49.0838,119.5406
6,15,49.0211,119.2587
6,16,49.1615,118.4615
6,17,49.9757,116.9703
6,18,51.1035,116.0567
7,0,109.7796,100.8711
7,1,111.6459,100.1060
7,2,111.4258,100.0653
7,3,113.3600,100.8139
7,4,114.2857,101.6205
7,5,114.9753,103.0932
7,6,114.9972,103.8731
7,7,114.9496,104.8386
7,8,114.2104,106.2555
7,9,113.1630,107.0792
7,10,111.3300,107.9329
7,11,111.7723,107.8801
7,12,109.9418,107.0320
7,13,108.8932,106.1394
7,14,108.1281,104.5709
7,15,108.0088,103.6484
7,16,108.0940,103.3762
7,17,108.8264,101.7536
8,0,95.0283,101.0211
8,1,96.6937,100.2174
8,2,97.3138,100.0118
8,3,97.3497,100.1562
8,4,99.0737,100.9494
8,5,100.0273,101.9559
8,6,100.8270,103.8770
8,7,100.9922,103.7950
8,8,100.7746,104.1586
8,9,99.9588,105.9386
8,10,98.9373,106.9580
8,11,97.1017,107.7833
8,12,97.0561,107.9989
8,13,96.8503,107.7616
8,14,95.1122,106.9197
8,15,94.0984,105.8481
8,16,93.8283,105.5141
8,17,93.0010,103.8987
8,18,93.2178,103.9858
8,19,94.0625,102.1032
9,0,80.6309,100.8210
9,1,82.6567,100.0641
9,2,82.3613,100.1073
9,3,84.1983,100.8868
9,4,85.1714,101.7662
9,5,85.9068,103.3431
9,6,85.9994,103.8440
9,7,85.8975,104.6322
9,8,85.1569,106.2103
9,9,84.1634,107.0923
9,10,82.2951,107.8875
9,11,82.6221,107.9357
9,12,80.6756,107.1562
9,13,79.6995,106.3671
9,14,78.9895,105.0349
9,15,79.0004,103.9349
9,16,78.9876,102.9573
9,17,79.6827,101.6045
10,0,65.7825,100.8821
10,1,67.7207,100.1076
10,2,67.4115,100.0642
10,3,69.3355,100.8357
10,4,70.3014,101.6260
10,5,71.0087,102.9711
10,6,70.9988,104.2364
10,7,70.9980,104.9930
10,8,70.3130,106.3965
10,9,69.3723,107.1875
10,10,67.3995,107.9357
10,11,67.6363,107.8980
10,12,65.7439,107.1426
10,13,64.7848,106.2888
10,14,64.0641,104.7644
10,15,63.9988,103.6186
10,16,64.0682,103.2440
10,17,64.7950,101.7304
11,0,50.8274,100.9058
11,1,52.8064,100.1232
11,2,52.4967,100.0505
11,3,53.1518,100.3014
11,4,54.8037,101.1548
11,5,55.8080,102.3125
11,6,56.0567,102.8227
11,7,55.9937,104.2917
11,8,56.0608,105.2184
11,9,55.8439,105.7256
11,10,54.8907,106.9088
11,11,54.5534,107.2662
11,12,52.4244,107.9441
11,13,52.5573,107.9065
11,14,50.6985,107.1746
11,15,49.7707,106.3208
11,16,49.0599,104.7711
11,17,48.9999,103.9930
11,18,49.0744,103.2553
11,19,49.8164,101.7615
12,0,35.7903,100.8918
12,1,37.7360,100.0971
12,2,37.3532,100.0762
12,3,39.3031,100.8563
12,4,40.3043,101.6444
12,5,41.0213,102.9352
12,6,40.9899,104.2827
12,7,41.0552,105.2117
12,8,40.8456,105.7182
12,9,39.9107,106.9224
12,10,38.4215,107.7724
12,11,37.6034,107.9533
12,12,37.5459,107.9166
12,13,35.5446,107.2520
12,14,35.1483,106.8650
12,15,34.2106,105.6044
12,16,34.0021,104.9917
12,17,34.0065,104.2051
12,18,34.0346,103.1095
12,19,34.7729,101.7213
13,0,20.6443,100.8447
13,1,22.5965,100.0452
13,2,22.2488,100.1265
13,3,24.1453,100.9223
13,4,25.1790,101.7784
13,5,25.9391,103.1895
13,6,25.9516,105.1417
13,7,25.9642,104.8479
13,8,25.3012,106.4382
13,9,24.4364,107.2589
13,10,22.6087,107.9294
13,11,22.4198,107.9616
13,12,21.4972,107.8172
13,13,20.0038,106.9968
13,14,19.0796,105.8584
13,15,18.8372,105.6265
13,16,18.0093,104.2860
13,17,18.9151,102.7591
13,18,19.1790,102.2744
13,19,20.2074,101.1565
14,0,109.7809,85.8828
14,1,111.7047,85.0899
14,2,111.3496,85.0905
14,3,113.2132,85.8852
14,4,114.1971,86.7394
14,5,114.9257,88.2695
14,6,114.9971,88.6372
14,7,114.9155,89.7065
14,8,114.1795,91.2328
14,9,113.1724,92.0902
14,10,111.3018,92.9098
14,11,111.7283,92.9001
14,12,109.8518,92.0790
14,13,108.8331,91.2151
14,14,108.0847,89.7109
14,15,108.0068,88.4608
14,16,108.0720,88.2678
14,17,108.7993,86.7327
15,0,94.9820,85.9872
15,1,96.6943,85.1841
15,2,96.9237,85.0011
15,3,97.3059,85.2014
15,4,98.9876,86.0091
15,5,99.9509,87.0813
15,6,100.7899,88.9783
15,7,100.9989,88.9017
15,8,100.7602,88.9865
15,9,99.9105,90.8620
15,10,98.8923,91.9248
15,11,97.1146,92.7680
15,12,97.0039,93.0000
15,13,96.9100,92.7709
15,14,95.0958,91.9350
15,15,94.0679,90.8982
15,16,93.2433,89.0568
15,17,93.0040,88.8116
15,18,93.1936,88.8785
15,19,94.0164,87.0265
16,0,80.0895,86.0739
16,1,81.6787,85.2364
16,2,82.5016,85.0378
16,3,82.4291,85.1135
16,4,84.2188,85.8633
16,5,85.1528,86.7738
16,6,85.8843,88.4668
16,7,85.9979,88.9039
16,8,85.8631,89.5320
16,9,85.0901,91.1203
16,10,84.0567,92.0325
16,11,82.1976,92.8603
16,12,82.5637,92.9561
16,13,80.7078,92.1296
16,14,79.6804,91.3609
16,15,78.9609,90.1163
